date,crop_type,region,yield,demand
2022-01-01,wheat,north,3.1598552666542763,4486.383460519548
2022-01-01,wheat,south,2.9687059237825637,3792.195571320171
2022-01-01,wheat,east,3.2053035087327713,3262.6435389124213
2022-01-01,wheat,west,3.4688099579371676,2795.5797369389043
2022-01-01,wheat,central,2.939840167350448,3555.639650292976
2022-01-01,rice,north,3.9197934795186593,4382.507913937277
2022-01-01,rice,south,4.64763049533876,5895.788687925176
2022-01-01,rice,east,4.321801386771373,5145.327298775535
2022-01-01,rice,west,3.825334432165796,5029.801474251043
2022-01-01,rice,central,4.231541844700348,3552.0807863576715
2022-01-01,corn,north,5.263177493607082,7343.281132544517
2022-01-01,corn,south,5.2619014823745145,5573.82637822878
2022-01-01,corn,east,5.652472089235979,9171.578337355322
2022-01-01,corn,west,4.463007820039135,3540.2526335563
2022-01-01,corn,central,4.5669638051402845,6945.3889619670945
2022-01-01,soybeans,north,2.651656955351638,2809.094407003984
2022-01-01,soybeans,south,2.525070449276827,2031.6075439607025
2022-01-01,soybeans,east,2.8979316506443356,2477.251228503
2022-01-01,soybeans,west,2.5545174503599672,2309.017613672497
2022-01-01,soybeans,central,2.4128330558231537,2719.8655408130703
2022-01-01,potatoes,north,23.010242456169973,26619.413859486012
2022-01-01,potatoes,south,19.615746276501543,16239.680161675413
2022-01-01,potatoes,east,20.20437478881433,20056.753995853433
2022-01-01,potatoes,west,17.20954717301176,28269.798011174466
2022-01-01,potatoes,central,18.97633971408404,28811.073534057068
2022-01-02,wheat,north,3.054158831944798,3453.939368741251
2022-01-02,wheat,south,2.672977750512818,2703.4524859885278
2022-01-02,wheat,east,3.1341383003538446,3246.996733846841
2022-01-02,wheat,west,2.839220862895407,3361.7947712766554
2022-01-02,wheat,central,2.9325424078975746,2032.7276363195738
2022-01-02,rice,north,3.785197707501078,3492.931383675255
2022-01-02,rice,south,4.773549235124528,2384.0287662447276
2022-01-02,rice,east,4.02210123170479,4503.815975651508
2022-01-02,rice,west,3.601540268531384,4300.810940072214
2022-01-02,rice,central,4.358820319860007,3726.983428814472
2022-01-02,corn,north,4.861777190644105,7157.489073885872
2022-01-02,corn,south,5.653529586408069,3574.5588538720167
2022-01-02,corn,east,4.452625154220726,2496.531426171364
2022-01-02,corn,west,4.802332432413711,5125.700106749148
2022-01-02,corn,central,5.646882843423551,7420.7352755431
2022-01-02,soybeans,north,3.0274702206569795,4556.882502545485
2022-01-02,soybeans,south,2.8675895524974253,2472.822037094889
2022-01-02,soybeans,east,2.7866716586254023,3688.4504507930287
2022-01-02,soybeans,west,2.7343866571735425,2702.79754361627
2022-01-02,soybeans,central,2.402439931061083,2278.021915490358
2022-01-02,potatoes,north,18.688086750593467,23642.26082152595
2022-01-02,potatoes,south,19.210066533022466,22969.416301622823
2022-01-02,potatoes,east,22.266486039212285,11736.271852468228
2022-01-02,potatoes,west,20.829654183751902,30056.401645695852
2022-01-02,potatoes,central,16.587331462364233,23454.9412842403
2022-01-03,wheat,north,3.129200737551544,2541.9473574670374
2022-01-03,wheat,south,2.9142544470589375,3260.2961093034205
2022-01-03,wheat,east,2.825798650938651,3244.607601114871
2022-01-03,wheat,west,3.2163691585749117,3467.89607682859
2022-01-03,wheat,central,3.3434648482182516,2791.487066915602
2022-01-03,rice,north,4.417653571012315,3527.5537600882594
2022-01-03,rice,south,3.7021431141474137,3673.76166575959
2022-01-03,rice,east,3.916333868242697,5294.173381161644
2022-01-03,rice,west,4.175169082987411,4856.055850678366
2022-01-03,rice,central,4.435542369813413,3942.379697965006
2022-01-03,corn,north,5.290514973513722,6515.320048631612
2022-01-03,corn,south,5.453614994775316,793.1585700378902
2022-01-03,corn,east,4.942015447490744,6645.180798526682
2022-01-03,corn,west,4.892075734036028,2338.832265637489
2022-01-03,corn,central,6.0082844906442405,5354.990004542159
2022-01-03,soybeans,north,3.2125747065460346,2133.4677515989306
2022-01-03,soybeans,south,2.8085360198458185,1717.6881522090275
2022-01-03,soybeans,east,3.1127971389720477,4196.822629750239
