date,crop_type,region,price
2022-01-01,wheat,north,306.0362517055919
2022-01-01,wheat,south,313.28560254688705
2022-01-01,wheat,east,293.9499550308542
2022-01-01,wheat,west,295.45011692335413
2022-01-01,wheat,central,318.14242383675185
2022-01-01,rice,north,355.2366860447579
2022-01-01,rice,south,349.0469606367607
2022-01-01,rice,east,408.2091251166076
2022-01-01,rice,west,320.43421341367883
2022-01-01,rice,central,333.5454132786411
2022-01-01,corn,north,236.7145569984798
2022-01-01,corn,south,231.58432955664503
2022-01-01,corn,east,189.0716772799784
2022-01-01,corn,west,220.55158172158698
2022-01-01,corn,central,221.24578406282004
2022-01-01,soybeans,north,524.9063784428239
2022-01-01,soybeans,south,497.3345469126184
2022-01-01,soybeans,east,532.6942848329328
2022-01-01,soybeans,west,541.2934405516181
2022-01-01,soybeans,central,533.4793584836402
2022-01-01,potatoes,north,127.08727885852058
2022-01-01,potatoes,south,180.96205609093604
2022-01-01,potatoes,east,186.53029655221272
2022-01-01,potatoes,west,121.6754380334307
2022-01-01,potatoes,central,158.07159193230447
2022-01-02,wheat,north,363.23751736008927
2022-01-02,wheat,south,331.7726772899132
2022-01-02,wheat,east,332.0938568537524
2022-01-02,wheat,west,258.1706054374666
2022-01-02,wheat,central,325.4043534854449
2022-01-02,rice,north,411.6825658324028
2022-01-02,rice,south,433.42042902256304
2022-01-02,rice,east,360.4303596492024
2022-01-02,rice,west,358.98437011892065
2022-01-02,rice,central,396.33350660123125
2022-01-02,corn,north,193.40975960781165
2022-01-02,corn,south,197.86764644229547
2022-01-02,corn,east,191.392501697465
2022-01-02,corn,west,196.99155056218015
2022-01-02,corn,central,187.64190557826106
2022-01-02,soybeans,north,500.1553673160612
2022-01-02,soybeans,south,431.0359477572059
2022-01-02,soybeans,east,528.4196084106279
2022-01-02,soybeans,west,515.6760616655157
2022-01-02,soybeans,central,439.16444432967677
2022-01-02,potatoes,north,170.77259185911058
2022-01-02,potatoes,south,138.3077019232229
2022-01-02,potatoes,east,168.70083652285214
2022-01-02,potatoes,west,155.74136563577505
2022-01-02,potatoes,central,165.86042165666396
2022-01-03,wheat,north,307.64949133729726
2022-01-03,wheat,south,319.45968979908923
2022-01-03,wheat,east,332.2408782781778
2022-01-03,wheat,west,359.9815961242106
2022-01-03,wheat,central,334.81126838687464
2022-01-03,rice,north,421.16515309482827
2022-01-03,rice,south,348.73901056112976
2022-01-03,rice,east,305.715580428085
2022-01-03,rice,west,397.84036623198506
2022-01-03,rice,central,374.2966320505536
2022-01-03,corn,north,187.88916090601603
2022-01-03,corn,south,199.8871867729051
2022-01-03,corn,east,214.90710786708192
2022-01-03,corn,west,189.03452277947224
2022-01-03,corn,central,219.5910619329967
2022-01-03,soybeans,north,505.559111279998
2022-01-03,soybeans,south,505.76665429931944
2022-01-03,soybeans,east,598.3471975329115
2022-01-03,soybeans,west,512.8459109736232
2022-01-03,soybeans,central,501.14340568051455
2022-01-03,potatoes,north,159.08082081698404
